Категория	Место	Код	Приоритет	Вид испытания	Математика	Информатика	Русский язык	ИД	Балл ВИ	Балл ВИ+ИД	Преимущественное право	Основной высший приоритет	Высший проходной приоритет	Согласие	Олимпиада
Общий конкурс	389	1615308	2	ЕГЭ	95	88	100	5	283	288	нет	нет	нет	нет	
Общий конкурс	390	1974681	4	ЕГЭ	94	98	91	5	283	288	нет	нет	нет	нет	
Общий конкурс	391	1650607	4	ЕГЭ	94	95	89	10	278	288	нет	нет	нет	нет	
Общий конкурс	392	1857350	5	ЕГЭ	94	95	97	2	286	288	нет	нет	нет	нет	
Общий конкурс	393	1687864	3	ЕГЭ	94	93	91	10	278	288	нет	нет	нет	нет	
Общий конкурс	394	1882881	2	ЕГЭ	92	95	97	4	284	288	нет	нет	нет	да	
Общий конкурс	395	1634651	3	ЕГЭ	90	95	100	3	285	288	нет	нет	нет	нет	
Общий конкурс	396	1188932	1	ЕГЭ	94	90	100	3	284	287	да	нет	нет	нет	
Общий конкурс	397	1647800	4	ВИ	100	93	89	5	282	287	нет	нет	нет	нет	
Общий конкурс	398	1752119	4	ВИ	100	93	94	0	287	287	нет	нет	нет	нет	
Общий конкурс	399	1255250	5	ВИ	100	93	94	0	287	287	нет	нет	нет	да	
Общий конкурс	400	1168205	4	ЕГЭ	100	90	94	3	284	287	нет	нет	нет	нет	
Общий конкурс	401	1292602	6	ЕГЭ	98	98	89	2	285	287	нет	нет	нет	нет	
Общий конкурс	402	1626723	3	ЕГЭ	98	95	89	5	282	287	нет	нет	нет	нет	
Общий конкурс	403	1393312	5	ЕГЭ	98	95	91	3	284	287	нет	нет	нет	нет	
Общий конкурс	404	1518930	1	ЕГЭ	98	93	94	2	285	287	нет	нет	да	да	
Общий конкурс	405	2114204	1	ЕГЭ	97	93	97	0	287	287	нет	нет	нет	нет	
Общий конкурс	406	1983520	1	ЕГЭ	97	90	97	3	284	287	нет	нет	нет	нет	
Общий конкурс	407	1178462	4	ЕГЭ	96	98	83	10	277	287	нет	нет	нет	нет	
Общий конкурс	408	1864883	4	ЕГЭ	96	95	91	5	282	287	нет	нет	нет	нет	
Общий конкурс	409	1798613	1	ЕГЭ	95	100	89	3	284	287	нет	нет	да	да	
Общий конкурс	410	1443782	5	ЕГЭ	95	98	89	5	282	287	нет	нет	нет	нет	
Общий конкурс	411	1600477	4	ЕГЭ	95	98	91	3	284	287	нет	нет	нет	нет	
Общий конкурс	412	1760314	2	ЕГЭ	95	95	94	3	284	287	нет	нет	нет	нет	
Общий конкурс	413	1207433	2	ЕГЭ	95	93	94	5	282	287	нет	нет	нет	нет	
Общий конкурс	414	2007177	5	ЕГЭ	95	90	97	5	282	287	нет	нет	нет	нет	
Общий конкурс	415	1638684	5	ЕГЭ	94	88	100	5	282	287	нет	нет	нет	нет	
Общий конкурс	416	1197112	4	ЕГЭ	90	98	94	5	282	287	нет	нет	нет	нет	
Общий конкурс	417	1722965	3	ВИ	100	100	86	0	286	286	да	нет	нет	да	
Общий конкурс	418	1364152	2	ЕГЭ	100	93	83	10	276	286	да	нет	нет	нет	
Общий конкурс	419	1606069	5	ВИ	98	100	81	7	279	286	да	нет	нет	да	
Общий конкурс	420	1131241	1	ЕГЭ	94	95	94	3	283	286	да	нет	да	да	
Общий конкурс	421	2056640	3	ЕГЭ	100	98	83	5	281	286	нет	нет	нет	да	
Общий конкурс	422	1765731	2	ЕГЭ	100	98	86	2	284	286	нет	нет	нет	нет	
Общий конкурс	423	1458143	1	ЕГЭ	99	98	86	3	283	286	нет	нет	нет	нет	
Общий конкурс	424	982733	5	ЕГЭ	99	98	89	0	286	286	нет	нет	нет	нет	
Общий конкурс	425	1607425	5	ЕГЭ	99	93	94	0	286	286	нет	нет	нет	нет	
Общий конкурс	426	1718618	5	ЕГЭ	99	90	94	3	283	286	нет	нет	нет	да	
Общий конкурс	427	1641048	3	ЕГЭ	97	95	91	3	283	286	нет	нет	нет	нет	
Общий конкурс	428	1444891	5	ЕГЭ	97	95	91	3	283	286	нет	нет	нет	нет	
Общий конкурс	429	1984624	3	ЕГЭ	97	95	94	0	286	286	нет	нет	нет	нет	
Общий конкурс	430	1415796	5	ЕГЭ	97	93	91	5	281	286	нет	нет	нет	нет	
Общий конкурс	431	1567729	1	ЕГЭ	96	98	89	3	283	286	нет	нет	нет	нет	
Общий конкурс	432	1650447	5	ЕГЭ	96	93	94	3	283	286	нет	нет	нет	нет	
Общий конкурс	433	1605694	5	ЕГЭ	96	93	94	3	283	286	нет	нет	нет	нет	
Общий конкурс	434	1431310	4	ЕГЭ	96	93	94	3	283	286	нет	нет	нет	нет	
Общий конкурс	435	1511882	2	ЕГЭ	95	93	91	7	279	286	нет	нет	нет	нет	
Общий конкурс	436	1389410	5	ЕГЭ	94	100	89	3	283	286	нет	нет	нет	нет	
Общий конкурс	437	1635749	2	ЕГЭ	94	95	94	3	283	286	нет	нет	нет	нет	
Общий конкурс	438	1501593	4	ЕГЭ	94	93	94	5	281	286	нет	нет	нет	нет	
