Категория	Место	Код	Приоритет	Вид испытания	Математика	Информатика	Русский язык	ИД	Балл ВИ	Балл ВИ+ИД	Преимущественное право	Основной высший приоритет	Высший проходной приоритет	Согласие	Олимпиада
Отдельная квота	136	1797323	5	ЕГЭ	92	75	75	0	242	242	нет	нет	нет	нет	
Отдельная квота	137	1196961	4	ЕГЭ	82	83	75	0	240	240	нет	нет	нет	нет	
Отдельная квота	138	1786013	4	ЕГЭ	86	83	70	0	239	239	нет	нет	нет	нет	
Отдельная квота	139	957798	4	ЕГЭ	80	75	83	0	238	238	нет	нет	нет	нет	
Отдельная квота	140	1791480	4	ЕГЭ	90	80	61	5	231	236	нет	нет	нет	нет	
Отдельная квота	141	1234738	2	ВИ	74	80	80	0	234	234	нет	нет	нет	нет	
Отдельная квота	142	1901622	4	ЕГЭ	84	75	70	3	229	232	нет	нет	нет	нет	
Отдельная квота	143	1599997	1	ЕГЭ	84	75	70	2	229	231	нет	нет	да	да	
Отдельная квота	144	1194611	4	ЕГЭ	86	72	72	0	230	230	нет	нет	нет	нет	
Отдельная квота	145	1266100	3	ЕГЭ	84	75	69	2	228	230	нет	нет	нет	нет	
Отдельная квота	146	1564250	4	ЕГЭ	72	75	75	0	222	222	да	нет	нет	нет	
Отдельная квота	147	1195126	4	ЕГЭ	78	75	67	2	220	222	нет	нет	нет	нет	
Отдельная квота	148	1944350	1	ЕГЭ	82	72	67	0	221	221	нет	нет	нет	нет	
Отдельная квота	149	1749618	1	ЕГЭ	74	75	69	2	218	220	нет	нет	нет	нет	
Отдельная квота	150	1375362	3	ЕГЭ	80	78	60	0	218	218	нет	нет	нет	нет	
Отдельная квота	151	1262830	5	ЕГЭ	70	78	70	0	218	218	нет	нет	нет	нет	
Отдельная квота	152	1439398	4	ЕГЭ	76	78	61	2	215	217	нет	нет	нет	нет	
Отдельная квота	153	1102181	3	ЕГЭ	76	75	64	0	215	215	нет	нет	нет	нет	
Отдельная квота	154	1678446	5	ЕГЭ	74	78	61	0	213	213	нет	нет	нет	нет	
Отдельная квота	155	1406658	4	ЕГЭ	82	67	63	0	212	212	нет	нет	нет	нет	
Отдельная квота	156	1890328	4	ВИ	80	72	60	0	212	212	нет	нет	нет	да	
Отдельная квота	157	1824073	3	ВИ	78	67	66	0	211	211	да	нет	нет	нет	
Отдельная квота	158	2055978	2	ЕГЭ	76	75	60	0	211	211	да	нет	нет	нет	
Отдельная квота	159	1006509	4	ВИ	100	55	56	0	211	211	нет	нет	нет	нет	
Отдельная квота	160	1731171	3	ЕГЭ	64	72	70	5	206	211	нет	нет	нет	нет	
Отдельная квота	161	1546902	3	ЕГЭ	70	70	69	0	209	209	нет	нет	нет	да	
Отдельная квота	162	1268940	3	ЕГЭ	72	72	63	0	207	207	нет	нет	нет	нет	
Отдельная квота	163	949214	2	ВИ			76	0	206	206	нет	нет	нет	нет	
Отдельная квота	164	1855081	1	ВИ	64	62	70	0	196	196	нет	нет	нет	нет	
Отдельная квота	165	1204136	5	ЕГЭ	58	72	61	0	191	191	нет	нет	нет	нет	
Отдельная квота	166	975304	5	ВИ	90	35	61	0	186	186	нет	нет	нет	нет	
Отдельная квота	167	1242244	4	ВИ	100		78	3	178	181	нет	нет	нет	нет	
Отдельная квота	168	1947499	5	ВИ	80		72	0	152	152	нет	нет	нет	нет	
Отдельная квота	169	1504431	5	ВИ	88		60	2	148	150	нет	нет	нет	нет	
Отдельная квота	170	1503288	4	ВИ	72		70	3	142	145	нет	нет	нет	да	
Отдельная квота	171	1533183	5	ЕГЭ	52	34	55	0	141	141	нет	нет	нет	нет	
Отдельная квота	172	1465540	3	ВИ	40	25	61	0	126	126	нет	нет	нет	нет	
Отдельная квота	173	1591554	4	ВИ	50		56	3	106	109	да	нет	нет	нет	
Отдельная квота	174	1966252	5	ЕГЭ	58		51	0	109	109	нет	нет	нет	нет	
Отдельная квота	175	1771835	2	ВИ	40		58	0	98	98	нет	нет	нет	нет	
Отдельная квота	176	1871491	1	ВИ	80			5	80	85	нет	нет	нет	нет	
Отдельная квота	177	1633374	3	ВИ			68	0	78	78	нет	нет	нет	нет	
Отдельная квота	178	1951228	5	ВИ	76			0	76	76	нет	нет	нет	нет	
Отдельная квота	179	1653326	2	ВИ			72	0	72	72	нет	нет	нет	да	
Отдельная квота	180	1176099	6	ВИ			69	0	69	69	нет	нет	нет	нет	
Отдельная квота	181	1559241	5	ВИ				0	0	0	да	нет	нет	нет	
Отдельная квота	182	1440591	2	ВИ				0	0	0	нет	нет	нет	нет	
Отдельная квота	183	1868563	2	ВИ				0	0	0	нет	нет	нет	нет	
Отдельная квота	184	996550	4	ВИ				0	0	0	нет	нет	нет	нет	
Отдельная квота	185	1915952	2	ВИ				0	0	0	нет	нет	нет	да	
Отдельная квота	186	1938740	5	ВИ				0	0	0	нет	нет	нет	нет	
Общий конкурс	187	1502047	4	ЕГЭ	98	100	100	10	298	308	нет	нет	нет	нет	
Общий конкурс	188	1781001	3	ЕГЭ	99	98	100	10	297	307	нет	нет	нет	нет	
Общий конкурс	189	1359860	2	ЕГЭ	98	98	100	10	296	306	нет	нет	нет	нет	
Общий конкурс	190	1427559	2	ВИ	100	98	97	10	295	305	да	нет	нет	нет	
Общий конкурс	191	1314879	5	ЕГЭ	100	100	100	5	300	305	нет	нет	нет	нет	
Общий конкурс	192	1905661	4	ВИ	100	100	100	5	300	305	нет	нет	нет	нет	
Общий конкурс	193	1498054	3	ВИ	100	100	94	10	294	304	нет	нет	нет	да	
Общий конкурс	194	1609925	4	ВИ	100	100	94	10	294	304	нет	нет	нет	нет	
Общий конкурс	195	1618150	3	ЕГЭ	100	100	94	10	294	304	нет	да	нет	нет	
Общий конкурс	196	1846579	3	ВИ	100	95	100	9	295	304	нет	нет	нет	нет	
Общий конкурс	197	1823789	4	ЕГЭ	97	100	97	10	294	304	нет	нет	нет	нет	
Общий конкурс	198	1306953	5	ЕГЭ	96	98	100	10	294	304	нет	нет	нет	нет	
Общий конкурс	199	1484288	4	ЕГЭ	100	98	100	5	298	303	да	да	нет	нет	
Общий конкурс	200	1642840	5	ВИ	100	100	94	9	294	303	нет	нет	нет	нет	
Общий конкурс	201	1928315	2	ЕГЭ	95	98	100	10	293	303	нет	нет	нет	нет	
Общий конкурс	202	2072812	4	ВИ	100	100	97	5	297	302	нет	нет	нет	нет	
Общий конкурс	203	1264839	2	ВИ	100	100	97	5	297	302	нет	да	нет	нет	
Общий конкурс	204	974866	3	ВИ	100	100	97	5	297	302	нет	нет	нет	да	
Общий конкурс	205	1617084	5	ВИ	100	100	91	10	291	301	да	нет	нет	да	
Общий конкурс	206	1867541	2	ЕГЭ	98	100	100	3	298	301	да	да	нет	нет	
Общий конкурс	207	1631512	5	ВИ	100	100	91	10	291	301	нет	нет	нет	да	
