Образовательная программа	Количество мест	Дата обновления	№ п/п	Уникальный идентификатор абитуриента	Право поступления без вступительных испытаний	Основание БВИ	Приоритет зачисления	Наличие согласия на зачисление	ВИ 1	ВИ 2	ВИ 3	Сумма баллов за вступительные испытания	Сумма баллов по индивидуальным достижениям	Сумма конкурсных баллов	Все оценки положительные	Статус заявления	Преимущественное право п.9	Преимущественное право п.10	Требуется общежитие на время обучения	Возврат документов
Прикладная математика и информатика	24	16.07.2026 17:48	168	1535558	-		4	-	100	100	91	291	10	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	169	1455709	-		3	-	100	98	97	295	5	300	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	170	1413259	-		1	-	98	100	97	295	5	300	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	171	1723173	-		1	-	100	93	100	293	7	300	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	172	2060011	-		3	-	100	93	97	290	10	300	Да	На рассмотрении	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	173	1586111	-		1	-	99	98	97	294	5	299	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	174	1188080	-		4	-	97	98	97	292	7	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	175	1702887	-		1	-	100	100	89	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	176	1911722	-		5	-	100	98	91	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	177	1673245	-		1	-	100	98	91	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	178	1426139	-		3	-	100	95	94	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	179	1046128	-		3	-	92	100	97	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	180	1515716	-		2	-	98	100	100	298	0	298	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	181	1956949	-		2	-	100	98	97	295	3	298	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	182	1382955	-		12	-	100	98	97	295	3	298	Да	Отозвано поступающим	-	-	Да	Да
Прикладная математика и информатика	24	16.07.2026 17:48	183	1624486	-		2	-	98	98	97	293	5	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	184	1972145	-		7	-	100	100	91	291	7	298	Да	Участвует в конкурсе	-	-	Да	-
